../models/0121_with_larger_training_-StateToProbGainPerTimeEstimator-0121-hl1-hu64-lr0.001-reg0.0001-kp0.7-n1/
Normalize the input for the first 128 dim with total 167 dim
# Training model ----------------
# Train epoch 0 ----------------
Batch 4800: loss 0.000278, reg: 2.75e-07
Batch 4900: loss 0.000276, reg: 2.75e-07
Batch 5000: loss 0.000275, reg: 2.74e-07
Batch 5100: loss 0.000274, reg: 2.74e-07
Batch 5200: loss 0.000276, reg: 2.73e-07
Batch 5300: loss 0.000276, reg: 2.73e-07
Batch 5400: loss 0.000275, reg: 2.73e-07
Batch 5500: loss 0.000274, reg: 2.72e-07
Batch 5600: loss 0.000274, reg: 2.72e-07
Batch 5700: loss 0.000274, reg: 2.72e-07
Batch 5800: loss 0.000275, reg: 2.72e-07
Batch 5900: loss 0.000275, reg: 2.71e-07
Batch 6000: loss 0.000275, reg: 2.71e-07
Batch 6100: loss 0.000275, reg: 2.71e-07
Batch 6200: loss 0.000275, reg: 2.71e-07
Batch 6300: loss 0.000276, reg: 2.71e-07
Batch 6400: loss 0.000277, reg: 2.7e-07
Batch 6500: loss 0.000276, reg: 2.7e-07
Batch 6600: loss 0.000277, reg: 2.7e-07
Batch 6700: loss 0.000276, reg: 2.7e-07
Batch 6800: loss 0.000277, reg: 2.7e-07
Batch 6900: loss 0.000277, reg: 2.7e-07
Batch 7000: loss 0.000278, reg: 2.7e-07
Batch 7100: loss 0.000278, reg: 2.7e-07
Batch 7200: loss 0.000279, reg: 2.7e-07
Batch 7300: loss 0.00028, reg: 2.7e-07
Batch 7400: loss 0.00028, reg: 2.7e-07
Batch 7500: loss 0.000281, reg: 2.7e-07
Batch 7600: loss 0.000283, reg: 2.7e-07
Batch 7700: loss 0.000284, reg: 2.7e-07
Batch 7800: loss 0.000285, reg: 2.7e-07
Batch 7900: loss 0.000284, reg: 2.7e-07
Batch 8000: loss 0.000284, reg: 2.7e-07
Batch 8100: loss 0.000284, reg: 2.7e-07
Batch 8200: loss 0.000284, reg: 2.7e-07
Batch 8300: loss 0.000285, reg: 2.7e-07
Batch 8400: loss 0.000286, reg: 2.7e-07
Batch 8500: loss 0.000286, reg: 2.7e-07
Batch 8600: loss 0.000285, reg: 2.7e-07
Batch 8700: loss 0.000284, reg: 2.7e-07
Batch 8800: loss 0.000284, reg: 2.71e-07
Batch 8900: loss 0.000283, reg: 2.71e-07
Batch 9000: loss 0.000283, reg: 2.71e-07
Batch 9100: loss 0.000283, reg: 2.71e-07
Batch 9200: loss 0.000284, reg: 2.71e-07
Batch 9300: loss 0.000288, reg: 2.71e-07
